date,ifs_n_credit,ifs_r_gdp,ifs_n_shares,ifs_n_bonds,ifs_prices,mps
6/30/2016,9453.8203,4409.8999,97.06623,1.753333333,104.60614,0.664430132
9/30/2016,9548.1699,4433.7998,100.4258,1.563333333,104.95415,74.43888893
12/31/2016,9655.6504,4456.1001,100.9166,2.13,105.18774,39.38341641
3/31/2017,9653.2695,4481.2998,106.5986,2.443333333,106.0195,38.16898662
6/30/2017,9804.3301,4505.2998,108.5295,2.263333333,106.59574,0.741493879
9/30/2017,9897.9404,4540.8999,111.6664,2.243333333,107.01852,41.44846633
12/31/2017,10068.87,4580.6001,116.8752,2.37,107.41515,0.748272985
3/31/2018,10081.4,4609.6001,120.6047,2.76,108.36698,97.55088412
6/30/2018,10232.34,4649.5,118.1016,2.92,109.4865,67.15504302
9/30/2018,10325.24,4683.2002,121.0241,2.926666667,109.84481,109.8917416
12/31/2018,10533.62,4695.8999,113.901,3.033333333,109.78165,60.64859836
3/31/2019,10564.84,4731.7998,115.5575,2.653333333,110.14955,94.04826978
6/30/2019,10721.16,4755.5,119.9513,2.333333333,111.4697,57.66159389
9/30/2019,10804.05,4780.2998,121.1577,1.796666667,111.77532,91.0889519
12/31/2019,10930.44,4805.5,125.2528,1.793333333,112.01342,81.82705085
