date,ifs_n_credit,ifs_r_gdp,ifs_n_shares,ifs_prices,mps
2014q3,4887.8281,3535.8589,7048.033333,91.336792,93.17319248
2014q4,5232.1577,3594.698,7189.35,91.223083,66.57460863
2015q1,5201.7358,3651.7549,7682.103333,91.109375,55.98785203
2015q2,5290.7134,3713.9551,7760.083333,91.194656,0.439387912
2015q3,5436.3452,3764.428,7285.873333,91.279938,73.0845057
2015q4,5842.2178,3849.8049,7002.75,91.478928,17.7583555
2016q1,5861.0381,3915.6311,6766.42,91.64949,0.832688462
2016q2,6114.2876,3982.728,7394.923333,92.075905,0.664430132
2016q3,6311.9961,4037.3701,7853.296667,92.587593,74.43888893
2016q4,6743.2183,4114.9111,7123.316667,93.326698,39.38341641
2017q1,6865.1348,4176.3862,7258.156667,94.293228,38.16898662
2017q2,7142.5049,4264.6558,7770.77,94.691208,0.741493879
2017q3,7481.6846,4336.5439,8018.106667,95.060768,41.44846633
2017q4,7835.3022,4386.1362,8354.98,96.140999,0.748272985
2018q1,8053.4521,4456.3569,8571.046667,97.931915,97.55088412
2018q2,8349.0947,4533.4492,7623.206667,99.211143,67.15504302
2018q3,8589.0293,4599.168,7532.763333,101.00206,109.8917416
2018q4,8948.0986,4662.8789,7252.843333,101.85488,60.64859836
2019q1,8804.0869,4721.4712,7905.393333,101.68432,94.04826978
2019q2,9035.8926,4775.8672,7887.61,102.13915,57.66159389
2019q3,9218.9014,4884.9722,7985.13,102.67927,91.0889519
2019q4,9622.9883,4974.8262,7850.836667,103.41838,81.82705085
